video_id,title,publishedAt,thumbnail,duration,viewCount,likeCount,commentCount
2gBnM8G1S2E,Bobby Gets The Most Insane Gift for His Birthday,2024-10-05T19:00:01Z,https://i.ytimg.com/vi/2gBnM8G1S2E/hqdefault.jpg,PT20S,18005981,948713,4241
LuMApbbw8SM,Bobby Discovers He Is Not An Alpha,2024-05-17T16:00:30Z,https://i.ytimg.com/vi/LuMApbbw8SM/hqdefault.jpg,PT25S,13716741,507883,14414
zQnXC7lT080,mgk Gives Bobby a Run For His Money,2024-07-19T16:00:54Z,https://i.ytimg.com/vi/zQnXC7lT080/hqdefault.jpg,PT26S,13160573,656350,4606
XqmcKmoWRDg,Bobby's Painted Nails,2024-05-25T19:00:23Z,https://i.ytimg.com/vi/XqmcKmoWRDg/hqdefault.jpg,PT48S,9528597,365458,11324
2VekJ5oMDOI,Sketch and the Sumo Wrestler,2024-09-28T16:00:03Z,https://i.ytimg.com/vi/2VekJ5oMDOI/hqdefault.jpg,PT15S,6408201,360454,1933
PtwECVYOOKc,The Scariest Crowdsurf in History,2025-03-21T16:00:27Z,https://i.ytimg.com/vi/PtwECVYOOKc/hqdefault.jpg,PT56S,6281210,332981,12282
ws7uf42f_1s,Sing La Bamba with Fancy,2024-08-09T16:00:58Z,https://i.ytimg.com/vi/ws7uf42f_1s/hqdefault.jpg,PT19S,5262669,207849,1417
_xT59x-Brvk,Bobby's Wingman,2023-09-01T02:03:28Z,https://i.ytimg.com/vi/_xT59x-Brvk/hqdefault.jpg,PT53S,5176442,294431,1909
siIWIJ1SJfc,Angry Granny v Bobby Lee,2024-06-07T16:01:01Z,https://i.ytimg.com/vi/siIWIJ1SJfc/hqdefault.jpg,PT27S,4475631,188691,1714
Tcg2jPJNb1Q,Benny Blanco & Selena Gomez's First Date,2025-04-04T16:00:43Z,https://i.ytimg.com/vi/Tcg2jPJNb1Q/hqdefault.jpg,PT1M1S,4284772,124881,665
A1bT3RUWPYI,Dax Flame's Sickest Burns,2024-05-19T19:00:08Z,https://i.ytimg.com/vi/A1bT3RUWPYI/hqdefault.jpg,PT57S,3324872,120661,1373
84Acas00fY0,What LA Fires Did to Andrew's Agent's House,2025-01-25T20:00:03Z,https://i.ytimg.com/vi/84Acas00fY0/hqdefault.jpg,PT18S,3204404,141449,2092
